year,raw_file,title_rows_scraped,unique_titles_scraped,total_pages_reported,unique_pages_scraped,source_note
2011,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2011/tc_2011_job_title_summary.csv,2471,2467,50,50,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2012,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2012/tc_2012_job_title_summary.csv,2578,2578,52,52,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2013,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2013/tc_2013_job_title_summary.csv,2770,2770,56,56,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2014,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2014/tc_2014_job_title_summary.csv,2770,2770,56,56,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2015,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2015/tc_2015_job_title_summary.csv,2863,2863,58,58,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2016,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2016/tc_2016_job_title_summary.csv,3092,3092,62,62,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2017,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2017/tc_2017_job_title_summary.csv,3284,3284,66,66,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2018,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2018/tc_2018_job_title_summary.csv,3311,3302,67,67,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2019,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2019/tc_2019_job_title_summary.csv,3317,3317,67,67,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2020,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2020/tc_2020_job_title_summary.csv,3324,3324,67,67,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2021,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2021/tc_2021_job_title_summary.csv,3157,3157,64,64,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2022,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2022/tc_2022_job_title_summary.csv,3176,3176,64,64,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2023,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2023/tc_2023_job_title_summary.csv,3222,3222,65,65,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
2024,/Users/rjdellinger/Documents/GitHub/uc-salary-scraper/data/raw/transparent_california/2024/tc_2024_job_title_summary.csv,3210,3210,65,65,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis."
