year,workers,unique_job_titles,total_regular_pay,total_overtime_pay,total_other_pay,total_pay,total_benefits,total_pay_benefits,median_total_pay_benefits,mean_total_pay_benefits,overtime_share_of_total_pay,benefits_share_of_total_comp,annual_change_total_pay_benefits,annual_change_total_pay,cumulative_total_pay,cumulative_total_pay_benefits,total_pay_benefits_index_start_year,workers_index_start_year
2011,402,8,30611397.43999999,3732337.9500000016,1860456.1600000008,36204191.54999997,0,36204191.54999997,36204191.54999997,36204191.54999997,0.10309132147987447,0,NA,NA,36204191.54999997,36204191.54999997,100,100
2012,408,8,31900162.710000005,4319948.600000001,1917319.1699999988,38137430.47999997,0,38137430.47999997,38137430.47999997,38137430.47999997,0.11327319501153776,0,0.05339820742385837,0.05339820742385837,74341622.02999994,74341622.02999994,105.33982074238584,101.49253731343283
2013,417,8,32129834,4756652,2364709,39251195,8495267,47746462,47746462,47746462,0.12118489640888641,0.17792453396861113,0.25195802126834943,0.029203973785913995,113592817.02999994,122088084.02999994,131.88103353740001,103.73134328358209
2014,433,13,35215453,5763632,1772911,42751996,9997939,52749935,52749935,52749935,0.13481550662570235,0.18953462217536382,0.10479253939276179,0.08918966670951045,156344813.02999994,174838019.02999994,145.70118193952612,107.71144278606965
2015,436,13,35078970,6525798,1866806,43471574,10546867,54018441,54018441,54018441,0.1501164416084865,0.19524567545368443,0.02404753674104043,0.016831448056834564,199816387.02999994,228856460.02999994,149.2049364654299,108.45771144278606
2016,442,12,37285260,6397108,1891456,45573824,11069478,56643302,56643302,56643302,0.14036803231609443,0.1954243063019172,0.04859194288854063,0.04835918754632629,245390211.02999994,285499762.03,156.45509421684642,109.95024875621891
2017,429,11,38155799,7475624,2166025,47797448,11339054,59136502,59136502,59136502,0.15640215770515614,0.19174373891780072,0.04401579554807733,0.04879169235392666,293187659.03,344636264.03,163.34158965635032,106.71641791044776
2018,438,12,40893667,7616645,3845016,52355328,10825830,63181158,63181158,63181158,0.14547984495484395,0.1713458623218017,0.06839525273239877,0.09535822916738157,345542987.03,407817422.03,174.51337896260816,108.95522388059702
2019,442,12,40939660,7830107,5036360,53806127,8782712,62588839,62588839,62588839,0.14552444928808944,0.14032393219500364,-0.00937493105143783,0.027710627655699094,399349114.03,470406261.03,172.87732806728025,109.95024875621891
2020,438,12,43110673,5733716,5911404,54755793,6516635,61272428,61272428,61272428,0.10471432675625755,0.10635509661866183,-0.021032679644369168,0.017649774346330416,454104907.03,531678689.03,169.24125460826664,108.95522388059702
2021,433,10,42769481,5526809,5807517,54103807,6355732,60459539,60459539,60459539,0.10215194283832929,0.10512372580280507,-0.013266799220034153,-0.01190716021590632,508208714.03,592138228.03,166.99596486363208,107.71144278606965
2022,427,9,44182658,8837258,6854605,59874521,6480117,66354638,66354638,66354638,0.1475963039437092,0.09765884036621525,0.09750486188788177,0.1066600359564347,568083235.03,658492866.03,183.27888335349408,106.21890547263682
2023,451,9,49588606,9772747,8809606,68170959,6928817,75099776,75099776,75099776,0.14335645476250378,0.09226148690510076,0.13179392222741093,0.1385637473408765,636254194.03,733592642.03,207.43392625211118,112.18905472636816
2024,462,8,56026867,13863541,10048299,79938707,7791721,87730428,87730428,87730428,0.17342713586798444,0.08881435070623388,0.1681849490469851,0.17262113035552273,716192901.03,821323070.03,242.32119056943858,114.92537313432835
