year,cohort_group,analysis_cohort,title_rows,workers,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,weighted_avg_regular_pay,weighted_avg_total_pay,weighted_avg_total_pay_benefits
2011,Librarians,Librarians,20,627,45553450.85000001,0,1044694.61,46598148.36,0,46598148.36,72653.0316586922,74319.21588516746,74319.21588516746
2011,Police,Police,8,378,30414957.55,3712283.21,1819811.82,35947052.72999999,0,35947052.72999999,80462.85066137566,95098.02309523807,95098.02309523807
2012,Librarians,Librarians,28,978,75084293.32000001,59.1,1212678.8399999999,76297031.25999996,0,76297031.25999996,76773.30605316974,78013.32439672797,78013.32439672797
2012,Police,Police,8,396,31812921.759999998,4314177.869999999,1889880.26,38016980.01,0,38016980.01,80335.661010101,96002.47477272726,96002.47477272726
2013,Librarians,Librarians,28,942,76059030.87999998,699.3000000000001,1797974,77857699.21999998,17908395.639999997,95766093.78000003,80742.07099787683,82651.48537154988,101662.51993630576
2013,Police,Police,8,390,31949337.39,4741331.87,2269799.47,38960466.14,8408758.52,47369223.95999999,81921.37792307693,99898.63112820513,121459.5486153846
2014,Librarians,Librarians,28,936,77930770.21999997,0,1500951.7999999998,79431723.71999997,20235402.720000003,99667125.10000001,83259.36989316237,84862.95269230766,106481.97126068377
2014,Police,Police,13,399,34893298.1,5740939.75,1737918.58,42372156.9,9852638.200000001,52224795.379999995,87451.87493734337,106195.88195488721,130889.21147869673
2015,Librarians,Librarians,29,932,79263307.80000001,0,1753497.7200000002,81016810.24000005,21817750.640000008,102834561.68,85046.46759656654,86927.90798283268,110337.51253218885
2015,Police,Police,13,409,34824237.730000004,6498964.140000001,1789020.4000000001,43112222.82,10377710.42,53489932.60999999,85144.83552567236,105408.85775061125,130782.23132029337
2016,Librarians,Librarians,32,965,82976052.4,135.7,1476166.3900000004,84452355.91000007,22837848.720000006,107290203.26999994,85985.54652849742,87515.39472538867,111181.55779274605
2016,Police,Police,11,415,36986843.31999999,6362632.129999999,1817774.57,45167249.949999996,10975076.530000001,56142326.19,89124.92366265059,108836.74686746988,135282.71371084338
2017,Librarians,Librarians,29,986,86816601.03999999,649.96,1848531.18,88665782.37999998,23852984.700000003,112518767.20000002,88049.29111561865,89924.72858012168,114116.39675456392
2017,Police,Police,11,410,37964212.61,7445825.1,2115006.65,47525044.75,11252127.99,58777172.739999995,92595.64051219512,115914.74329268292,143358.957902439
2018,Librarians,Librarians,30,970,87454482.02,0,1755127.6599999997,89209609.67999999,24102804.89999999,113312414.15999998,90159.25981443298,91968.66977319588,116816.92181443296
2018,Police,Police,12,420,40683687.71,7587751.579999998,3798194.9599999995,52069637.34,10748735.959999999,62818372.9,96865.92311904763,123975.327,149567.55452380952
2019,Librarians,Librarians,30,900,86599904.84000002,0,1100413.2600000002,87700319.72,22959836.480000008,110660155.92,96222.1164888889,97444.79968888889,122955.7288
2019,Police,Police,12,404,40476298.12,7778870.0600000005,4909075.800000001,53164241.33000001,8592102.969999999,61756344.35000001,100188.85673267326,131594.65675742578,152862.23849009903
2020,Librarians,Librarians,33,973,99440624.02000001,0,1409773.5199999998,100850399.52000001,25083099.7,125933500.61999997,102200.02468653649,103648.92036998973,129428.05819116133
2020,Police,Police,12,416,42871510.080000006,5713063.42,5796024.91,54380601.21,6454801.18,60835402.150000006,103056.51461538463,130722.5990625,146238.94747596156
2021,Librarians,Librarians,37,907,95387433.69,0,1204706.6999999997,96592140.38999999,24302028.269999992,120894172.46999995,105168.06360529218,106496.29590959205,133290.15707828
2021,Police,Police,10,412,42557349.550000004,5477300.900000001,5604793.56,53639444.27,6303497.02,59942941.300000004,103294.53774271846,130192.82589805825,145492.5759708738
2022,Librarians,Librarians,38,870,95367006.55,0,1469660.1600000001,96836667.22999999,24023370.32,120860037.55000001,109617.24890804598,111306.51405747126,138919.5833908046
2022,Police,Police,9,400,43857760.15,8790115.78,6749775.66,59397652.39000001,6354312.82,65751965.21,109644.400375,148494.130975,164379.91302500002
2023,Librarians,Librarians,36,837,96350985.59000002,0,1235912.6500000001,97586897.85000004,23685005.87000001,121271904.69999999,115114.6781242533,116591.27580645165,144888.77502986856
2023,Police,Police,8,400,48902374.44,9704035.209999999,8484907.799999999,67091314.23,6826094.92,73917409.02,122255.93609999999,167728.285575,184793.52255
2024,Librarians,Librarians,38,887,102785101.49999999,3634,2932892.4200000004,105721628.46000001,25364185.060000006,131085812.79999998,115879.48308906425,119190.11100338219,147785.58376550168
2024,Police,Police,8,428,55580905.28999999,13796922.23,9857146.77,79234974.51,7736472.99,86971447.5,129861.92824766356,185128.44511682243,203204.31658878503
