year,workers__Librarians,workers__Police,estimated_total_pay__Librarians,estimated_total_pay__Police,estimated_total_pay_benefits__Librarians,estimated_total_pay_benefits__Police,weighted_avg_total_pay__Librarians,weighted_avg_total_pay__Police,police_share_of_librarian_payroll,librarian_payroll_multiple_of_police,average_librarian_payroll_equivalents,cumulative_police_total_pay,cumulative_librarian_total_pay
2011,627,378,46598148.36,35947052.72999999,46598148.36,35947052.72999999,74319.21588516746,95098.02309523807,0.7714266337856689,1.2962995522887757,483.6844993836144,35947052.72999999,46598148.36
2012,978,396,76297031.25999996,38016980.01,76297031.25999996,38016980.01,78013.32439672797,96002.47477272726,0.49827600605386935,2.0069198352928286,487.31393392068424,73964032.73999998,122895179.61999996
2013,942,390,77857699.21999998,38960466.14,95766093.78000003,47369223.95999999,82651.48537154988,99898.63112820513,0.5004060809697275,1.998376994264576,471.3825282734833,112924498.87999998,200752878.83999994
2014,936,399,79431723.71999997,42372156.9,99667125.10000001,52224795.379999995,84862.95269230766,106195.88195488721,0.533441236266804,1.8746207304825677,499.30099714572845,155296655.77999997,280184602.55999994
2015,932,409,81016810.24000005,43112222.82,102834561.68,53489932.60999999,86927.90798283268,105408.85775061125,0.5321392275539676,1.879207448390156,495.9537600802978,198408878.59999996,361201412.8
2016,965,415,84452355.91000007,45167249.949999996,107290203.26999994,56142326.19,87515.39472538867,108836.74686746988,0.5348252214317648,1.8697697115385277,516.106338681653,243576128.54999995,445653768.7100001
2017,986,410,88665782.37999998,47525044.75,112518767.20000002,58777172.739999995,89924.72858012168,115914.74329268292,0.5360020909342368,1.8656643638404986,528.4980616611575,291101173.29999995,534319551.0900001
2018,970,420,89209609.67999999,52069637.34,113312414.15999998,62818372.9,91968.66977319588,123975.327,0.5836774482791348,1.7132750339221008,566.1671248307607,343170810.64,623529160.7700001
2019,900,404,87700319.72,53164241.33000001,110660155.92,61756344.35000001,97444.79968888889,131594.65675742578,0.6062035064380267,1.6496110454323674,545.583155794224,396335051.97,711229480.4900001
2020,973,416,100850399.52000001,54380601.21,125933500.61999997,60835402.150000006,103648.92036998973,130722.5990625,0.5392204836949167,1.8545289547379025,524.6615306351539,450715653.18,812079880.0100001
2021,907,412,96592140.38999999,53639444.27,120894172.46999995,59942941.300000004,106496.29590959205,130192.82589805825,0.555318932300554,1.8007669860223177,503.6742715966024,504355097.45,908672020.4000001
2022,870,400,96836667.22999999,59397652.39000001,120860037.55000001,65751965.21,111306.51405747126,148494.130975,0.6133797670764801,1.6303113563172253,533.6403973565376,563752749.84,1005508687.6300001
2023,837,400,97586897.85000004,67091314.23,121271904.69999999,73917409.02,116591.27580645165,167728.285575,0.6875032991941753,1.4545384744656542,575.4402614255247,630844064.07,1103095585.4800003
2024,887,428,105721628.46000001,79234974.51,131085812.79999998,86971447.5,119190.11100338219,185128.44511682243,0.7494679722983904,1.334279831776272,664.7780914286723,710079038.58,1208817213.9400003
